H_agua(min), H_relativa(max), voltaje, medición, H_suelo
1.08, 2.54, 4.00, 1.98, 38.10
1.08, 2.54, 4.00, 1.98, 38.10
1.08, 2.54, 4.00, 1.98, 38.10
1.08, 2.54, 4.00, 1.98, 38.10
1.08, 2.54, 4.00, 1.98, 38.10
1.08, 2.54, 4.00, 1.98, 38.09
1.08, 2.54, 4.00, 1.98, 38.09
1.08, 2.54, 4.00, 1.98, 38.09
1.08, 2.54, 4.00, 1.98, 38.09
1.08, 2.54, 4.00, 1.98, 38.09
1.08, 2.54, 4.00, 1.98, 38.09
1.08, 2.54, 4.00, 1.98, 38.08
1.08, 2.54, 4.00, 1.98, 38.08
1.08, 2.54, 4.00, 1.98, 38.09
1.08, 2.54, 4.00, 1.98, 38.08
1.08, 2.54, 4.00, 1.98, 38.08
1.08, 2.54, 4.00, 1.98, 38.07
1.08, 2.54, 4.00, 1.98, 38.07
1.08, 2.54, 4.00, 1.98, 38.07
1.08, 2.54, 4.00, 1.98, 38.07
1.08, 2.54, 4.00, 1.98, 38.07
1.08, 2.54, 4.00, 1.98, 38.06
1.08, 2.54, 4.00, 1.98, 38.06
1.08, 2.54, 4.00, 1.98, 38.06
1.08, 2.54, 4.00, 1.98, 38.07
1.08, 2.54, 4.00, 1.98, 38.06
1.08, 2.54, 4.00, 1.98, 38.06
1.08, 2.54, 4.00, 1.98, 38.06
1.08, 2.54, 4.00, 1.98, 38.06
1.08, 2.54, 4.00, 1.98, 38.06
1.08, 2.54, 4.00, 1.98, 38.05
1.08, 2.54, 4.00, 1.99, 38.05
1.08, 2.54, 4.00, 1.99, 38.05
1.08, 2.54, 4.00, 1.99, 38.05
1.08, 2.54, 4.00, 1.99, 38.05
1.08, 2.54, 4.00, 1.99, 38.05
1.08, 2.54, 4.00, 1.99, 38.04
1.08, 2.54, 4.00, 1.99, 38.05
1.08, 2.54, 4.00, 1.99, 38.04
1.08, 2.54, 4.00, 1.99, 38.05
1.08, 2.54, 4.00, 1.99, 38.05
1.08, 2.54, 4.00, 1.99, 38.04
1.08, 2.54, 4.00, 1.99, 38.05
1.08, 2.54, 4.00, 1.99, 38.04
1.08, 2.54, 4.00, 1.99, 38.04
1.08, 2.54, 4.00, 1.99, 38.03
1.08, 2.54, 4.00, 1.99, 38.03
1.08, 2.54, 4.00, 1.99, 38.03
1.08, 2.54, 4.00, 1.99, 38.04
1.08, 2.54, 4.00, 1.99, 38.03
1.08, 2.54, 4.00, 1.99, 38.03
1.08, 2.54, 4.00, 1.99, 38.03
1.08, 2.54, 4.00, 1.99, 38.03
1.08, 2.54, 4.00, 1.99, 38.03
1.08, 2.54, 4.00, 1.99, 38.03
1.08, 2.54, 4.00, 1.99, 38.03
1.08, 2.54, 4.00, 1.99, 38.03
1.08, 2.54, 4.00, 1.99, 38.03
1.08, 2.54, 4.00, 1.99, 38.03
1.08, 2.54, 4.00, 1.99, 38.02
1.08, 2.54, 4.00, 1.99, 38.02
1.08, 2.54, 4.00, 1.99, 38.02
1.08, 2.54, 4.00, 1.99, 38.02
1.08, 2.54, 4.00, 1.99, 38.02
1.08, 2.54, 4.00, 1.99, 38.02
1.08, 2.54, 4.00, 1.99, 38.02
1.08, 2.54, 4.00, 1.99, 38.02
1.08, 2.54, 4.00, 1.99, 38.02
1.08, 2.54, 4.00, 1.99, 38.02
1.08, 2.54, 4.00, 1.99, 38.02
1.08, 2.54, 4.00, 1.99, 38.02
1.08, 2.54, 4.00, 1.99, 38.01
1.08, 2.54, 4.00, 1.99, 38.01
1.08, 2.54, 4.00, 1.99, 38.01
1.08, 2.54, 4.00, 1.99, 38.01
1.08, 2.54, 4.00, 1.99, 38.01
1.08, 2.54, 4.00, 1.99, 38.01
1.08, 2.54, 4.00, 1.99, 38.01
1.08, 2.54, 4.00, 1.99, 38.01
1.08, 2.54, 4.00, 1.99, 38.01
1.08, 2.54, 4.00, 1.99, 38.01
1.08, 2.54, 4.00, 1.99, 38.01
1.08, 2.54, 4.00, 1.99, 38.01
1.08, 2.54, 4.00, 1.99, 38.01
1.08, 2.54, 4.00, 1.99, 38.00
1.08, 2.54, 4.00, 1.99, 38.00
1.08, 2.54, 4.00, 1.99, 38.00
1.08, 2.54, 4.00, 1.99, 38.00
1.08, 2.54, 4.00, 1.99, 38.00
1.08, 2.54, 4.00, 1.99, 38.00
1.08, 2.54, 4.00, 1.99, 38.00
1.08, 2.54, 4.00, 1.99, 38.00
1.08, 2.54, 4.00, 1.99, 38.00
1.08, 2.54, 4.00, 1.99, 38.00
1.08, 2.54, 4.00, 1.99, 38.00
1.08, 2.54, 4.00, 1.99, 38.00
1.08, 2.54, 4.00, 1.99, 38.00
1.08, 2.54, 4.00, 1.99, 38.00
1.08, 2.54, 4.00, 1.99, 38.00
1.08, 2.54, 4.00, 1.99, 38.00
1.08, 2.54, 4.00, 1.99, 38.00
1.08, 2.54, 4.00, 1.99, 37.99
1.08, 2.54, 4.00, 1.99, 37.99
1.08, 2.54, 4.00, 1.99, 37.99
1.08, 2.54, 4.00, 1.99, 37.99
1.08, 2.54, 4.00, 1.99, 37.99
1.08, 2.54, 4.00, 1.99, 37.99
1.08, 2.54, 4.00, 1.99, 37.99
1.08, 2.54, 4.00, 1.99, 37.99
1.08, 2.54, 4.00, 1.99, 37.99
1.08, 2.54, 4.00, 1.99, 37.99
1.08, 2.54, 4.00, 1.99, 37.99
1.08, 2.54, 4.00, 1.99, 37.99
1.08, 2.54, 4.00, 1.99, 37.99
1.08, 2.54, 4.00, 1.99, 37.99
1.08, 2.54, 4.00, 1.99, 37.99
1.08, 2.54, 4.00, 1.99, 37.99
1.08, 2.54, 4.00, 1.99, 37.98
1.08, 2.54, 4.00, 1.99, 37.99
1.08, 2.54, 4.00, 1.99, 37.99
1.08, 2.54, 4.00, 1.99, 37.99
1.08, 2.54, 4.00, 1.99, 37.99
1.08, 2.54, 4.00, 1.99, 37.98
1.08, 2.54, 4.00, 1.99, 37.98
1.08, 2.54, 4.00, 1.99, 37.98
1.08, 2.54, 4.00, 1.99, 37.98
1.08, 2.54, 4.00, 1.99, 37.98
1.08, 2.54, 4.00, 1.99, 37.98
1.08, 2.54, 4.00, 1.99, 37.98
1.08, 2.54, 4.00, 1.99, 37.98
1.08, 2.54, 4.00, 1.99, 37.97
1.08, 2.54, 4.00, 1.99, 37.97
1.08, 2.54, 4.00, 1.99, 37.97
1.08, 2.54, 4.00, 1.99, 37.97
1.08, 2.54, 4.00, 1.99, 37.97
1.08, 2.54, 4.00, 1.99, 37.98
1.08, 2.54, 4.00, 1.99, 37.97
1.08, 2.54, 4.00, 1.99, 37.97
1.08, 2.54, 4.00, 1.99, 37.97
1.08, 2.54, 4.00, 1.99, 37.97
1.08, 2.54, 4.00, 1.99, 37.97
1.08, 2.54, 4.00, 1.99, 37.97
1.08, 2.54, 4.00, 1.99, 37.97
1.08, 2.54, 4.00, 1.99, 37.96
1.08, 2.54, 4.00, 1.99, 37.97
1.08, 2.54, 4.00, 1.99, 37.97
1.08, 2.54, 4.00, 1.99, 37.97
1.08, 2.54, 4.00, 1.99, 37.97
1.08, 2.54, 4.00, 1.99, 37.97
1.08, 2.54, 4.00, 1.99, 37.97
1.08, 2.54, 4.00, 1.99, 37.97
1.08, 2.54, 4.00, 1.99, 37.97
1.08, 2.54, 4.00, 1.99, 37.97
1.08, 2.54, 4.00, 1.99, 37.97
1.08, 2.54, 4.00, 1.99, 37.96
1.08, 2.54, 4.00, 1.99, 37.96
1.08, 2.54, 4.00, 1.99, 37.96
1.08, 2.54, 4.00, 1.99, 37.96
1.08, 2.54, 4.00, 1.99, 37.95
1.08, 2.54, 4.00, 1.99, 37.95
1.08, 2.54, 4.00, 1.99, 37.95
1.08, 2.54, 4.00, 1.99, 37.95
1.08, 2.54, 4.00, 1.99, 37.95
1.08, 2.54, 4.00, 1.99, 37.95
1.08, 2.54, 4.00, 1.99, 37.95
1.08, 2.54, 4.00, 1.99, 37.95
1.08, 2.54, 4.00, 1.99, 37.95
1.08, 2.54, 4.00, 1.99, 37.95
1.08, 2.54, 4.00, 1.99, 37.95
1.08, 2.54, 4.00, 1.99, 37.95
1.08, 2.54, 4.00, 1.99, 37.95
1.08, 2.54, 4.00, 1.99, 37.95
1.08, 2.54, 4.00, 1.99, 37.94
1.08, 2.54, 4.00, 1.99, 37.94
1.08, 2.54, 4.00, 1.99, 37.94
1.08, 2.54, 4.00, 1.99, 37.94
1.08, 2.54, 4.00, 1.99, 37.94
1.08, 2.54, 4.00, 1.99, 37.94
1.08, 2.54, 4.00, 1.99, 37.94
1.08, 2.54, 4.00, 1.99, 37.94
1.08, 2.54, 4.00, 1.99, 37.94
1.08, 2.54, 4.00, 1.99, 37.94
1.08, 2.54, 4.00, 1.99, 37.93
1.08, 2.54, 4.00, 1.99, 37.94
1.08, 2.54, 4.00, 1.99, 37.93
1.08, 2.54, 4.00, 1.99, 37.93
1.08, 2.54, 4.00, 1.99, 37.93
1.08, 2.54, 4.00, 1.99, 37.93
1.08, 2.54, 4.00, 1.99, 37.93
1.08, 2.54, 4.00, 1.99, 37.93
1.08, 2.54, 4.00, 1.99, 37.93
1.08, 2.54, 4.00, 1.99, 37.92
1.08, 2.54, 4.00, 1.99, 37.92
1.08, 2.54, 4.00, 1.99, 37.92
1.08, 2.54, 4.00, 1.99, 37.93
1.08, 2.54, 4.00, 1.99, 37.92
1.08, 2.54, 4.00, 1.99, 37.92
1.08, 2.54, 4.00, 1.99, 37.92
1.08, 2.54, 4.00, 1.99, 37.92
1.08, 2.54, 4.00, 1.99, 37.92
1.08, 2.54, 4.00, 1.99, 37.92
1.08, 2.54, 4.00, 1.99, 37.92
1.08, 2.54, 4.00, 1.99, 37.92
1.08, 2.54, 4.00, 1.99, 37.92
1.08, 2.54, 4.00, 1.99, 37.92
1.08, 2.54, 4.00, 1.99, 37.92
1.08, 2.54, 4.00, 1.99, 37.91
1.08, 2.54, 4.00, 1.99, 37.92
1.08, 2.54, 4.00, 1.99, 37.92
1.08, 2.54, 4.00, 1.99, 37.92
1.08, 2.54, 4.00, 1.99, 37.91
1.08, 2.54, 4.00, 1.99, 37.91
1.08, 2.54, 4.00, 1.99, 37.91
1.08, 2.54, 4.00, 1.99, 37.91
1.08, 2.54, 4.00, 1.99, 37.90
1.08, 2.54, 4.00, 1.99, 37.90
1.08, 2.54, 4.00, 1.99, 37.90
1.08, 2.54, 4.00, 1.99, 37.90
1.08, 2.54, 4.00, 1.99, 37.89
1.08, 2.54, 4.00, 1.99, 37.89
1.08, 2.54, 4.00, 1.99, 37.89
1.08, 2.54, 4.00, 1.99, 37.89
1.08, 2.54, 4.00, 1.99, 37.89
1.08, 2.54, 4.00, 1.99, 37.89
1.08, 2.54, 4.00, 1.99, 37.89
1.08, 2.54, 4.00, 1.99, 37.89
1.08, 2.54, 4.00, 1.99, 37.89
1.08, 2.54, 4.00, 1.99, 37.89
1.08, 2.54, 4.00, 1.99, 37.89
1.08, 2.54, 4.00, 1.99, 37.89
1.08, 2.54, 4.00, 1.99, 37.89
1.08, 2.54, 4.00, 1.99, 37.89
1.08, 2.54, 4.00, 1.99, 37.88
1.08, 2.54, 4.00, 1.99, 37.89
1.08, 2.54, 4.00, 1.99, 37.88
1.08, 2.54, 4.00, 1.99, 37.88
1.08, 2.54, 4.00, 1.99, 37.87
1.08, 2.54, 4.00, 1.99, 37.88
1.08, 2.54, 4.00, 1.99, 37.87
1.08, 2.54, 4.00, 1.99, 37.87
1.08, 2.54, 4.00, 1.99, 37.87
1.08, 2.54, 4.00, 1.99, 37.87
1.08, 2.54, 4.00, 1.99, 37.87
1.08, 2.54, 4.00, 1.99, 37.87
1.08, 2.54, 4.00, 1.99, 37.86
1.08, 2.54, 4.00, 1.99, 37.86
1.08, 2.54, 4.00, 1.99, 37.86
1.08, 2.54, 4.00, 1.99, 37.86
1.08, 2.54, 4.00, 1.99, 37.86
1.08, 2.54, 4.00, 1.99, 37.86
1.08, 2.54, 4.00, 1.99, 37.85
1.08, 2.54, 4.00, 1.99, 37.85
1.08, 2.54, 4.00, 1.99, 37.85
1.08, 2.54, 4.00, 1.99, 37.84
1.08, 2.54, 4.00, 1.99, 37.84
1.08, 2.54, 4.00, 1.99, 37.85
1.08, 2.54, 4.00, 1.99, 37.85
1.08, 2.54, 4.00, 1.99, 37.85
1.08, 2.54, 4.00, 1.99, 37.85
1.08, 2.54, 4.00, 1.99, 37.85
1.08, 2.54, 4.00, 1.99, 37.85
1.08, 2.54, 4.00, 1.99, 37.85
1.08, 2.54, 4.00, 1.99, 37.84
1.08, 2.54, 4.00, 1.99, 37.84
1.08, 2.54, 4.00, 1.99, 37.84
1.08, 2.54, 4.00, 1.99, 37.84
1.08, 2.54, 4.00, 1.99, 37.83
1.08, 2.54, 4.00, 1.99, 37.84
1.08, 2.54, 4.00, 1.99, 37.84
1.08, 2.54, 4.00, 1.99, 37.84
1.08, 2.54, 4.00, 1.99, 37.84
1.08, 2.54, 4.00, 1.99, 37.83
1.08, 2.54, 4.00, 1.99, 37.83
1.08, 2.54, 4.00, 1.99, 37.82
1.08, 2.54, 4.00, 1.99, 37.82
1.08, 2.54, 4.00, 1.99, 37.83
1.08, 2.54, 4.00, 1.99, 37.83
1.08, 2.54, 4.00, 1.99, 37.82
1.08, 2.54, 4.00, 1.99, 37.83
1.08, 2.54, 4.00, 1.99, 37.83
1.08, 2.54, 4.00, 1.99, 37.82
1.08, 2.54, 4.00, 1.99, 37.82
1.08, 2.54, 4.00, 1.99, 37.81
1.08, 2.54, 4.00, 1.99, 37.82
1.08, 2.54, 4.00, 1.99, 37.80
1.08, 2.54, 4.00, 1.99, 37.80
1.08, 2.54, 4.00, 1.99, 37.81
1.08, 2.54, 4.00, 1.99, 37.80
1.08, 2.54, 4.00, 1.99, 37.81
1.08, 2.54, 4.00, 1.99, 37.81
1.08, 2.54, 4.00, 1.99, 37.81
1.08, 2.54, 4.00, 1.99, 37.81
1.08, 2.54, 4.00, 1.99, 37.81
1.08, 2.54, 4.00, 1.99, 37.81
1.08, 2.54, 4.00, 1.99, 37.81
1.08, 2.54, 4.00, 1.99, 37.81
1.08, 2.54, 4.00, 1.99, 37.80
1.08, 2.54, 4.00, 1.99, 37.80
1.08, 2.54, 4.00, 1.99, 37.80
1.08, 2.54, 4.00, 1.99, 37.80
1.08, 2.54, 4.00, 1.99, 37.79
1.08, 2.54, 4.00, 1.99, 37.80
1.08, 2.54, 4.00, 1.99, 37.79
1.08, 2.54, 4.00, 1.99, 37.79
1.08, 2.54, 4.00, 1.99, 37.79
1.08, 2.54, 4.00, 1.99, 37.79
1.08, 2.54, 4.00, 1.99, 37.79
1.08, 2.54, 4.00, 1.99, 37.79
1.08, 2.54, 4.00, 1.99, 37.79
1.08, 2.54, 4.00, 1.99, 37.79
1.08, 2.54, 4.00, 1.99, 37.79
1.08, 2.54, 4.00, 1.99, 37.79
1.08, 2.54, 4.00, 1.99, 37.79
1.08, 2.54, 4.00, 1.99, 37.79
1.08, 2.54, 4.00, 1.99, 37.78
1.08, 2.54, 4.00, 1.99, 37.78
1.08, 2.54, 4.00, 1.99, 37.78
1.08, 2.54, 4.00, 1.99, 37.78
1.08, 2.54, 4.00, 1.99, 37.79
1.08, 2.54, 4.00, 1.99, 37.78
1.08, 2.54, 4.00, 1.99, 37.78
1.08, 2.54, 4.00, 1.99, 37.78
1.08, 2.54, 4.00, 1.99, 37.78
1.08, 2.54, 4.00, 1.99, 37.77
1.08, 2.54, 4.00, 1.99, 37.77
1.08, 2.54, 4.00, 1.99, 37.77
1.08, 2.54, 4.00, 1.99, 37.77
1.08, 2.54, 4.00, 1.99, 37.77
1.08, 2.54, 4.00, 1.99, 37.77
1.08, 2.54, 4.00, 1.99, 37.77
1.08, 2.54, 4.00, 1.99, 37.77
1.08, 2.54, 4.00, 1.99, 37.77
1.08, 2.54, 4.00, 1.99, 37.77
1.08, 2.54, 4.00, 1.99, 37.76
1.08, 2.54, 4.00, 1.99, 37.76
1.08, 2.54, 4.00, 1.99, 37.77
1.08, 2.54, 4.00, 1.99, 37.76
1.08, 2.54, 4.00, 1.99, 37.76
1.08, 2.54, 4.00, 1.99, 37.76
1.08, 2.54, 4.00, 1.99, 37.76
1.08, 2.54, 4.00, 1.99, 37.77
1.08, 2.54, 4.00, 1.99, 37.76
1.08, 2.54, 4.00, 1.99, 37.76
1.08, 2.54, 4.00, 1.99, 37.76
1.08, 2.54, 4.00, 1.99, 37.76
1.08, 2.54, 4.00, 1.99, 37.76
1.08, 2.54, 4.00, 1.99, 37.76
1.08, 2.54, 4.00, 1.99, 37.76
1.08, 2.54, 4.00, 1.99, 37.76
1.08, 2.54, 4.00, 1.99, 37.76
1.08, 2.54, 4.00, 1.99, 37.76
1.08, 2.54, 4.00, 1.99, 37.76
1.08, 2.54, 4.00, 1.99, 37.75
1.08, 2.54, 4.00, 1.99, 37.76
1.08, 2.54, 4.00, 1.99, 37.76
1.08, 2.54, 4.00, 1.99, 37.75
1.08, 2.54, 4.00, 1.99, 37.75
1.08, 2.54, 4.00, 1.99, 37.75
1.08, 2.54, 4.00, 1.99, 37.75
1.08, 2.54, 4.00, 1.99, 37.75
1.08, 2.54, 4.00, 1.99, 37.75
1.08, 2.54, 4.00, 1.99, 37.75
1.08, 2.54, 4.00, 1.99, 37.75
1.08, 2.54, 4.00, 1.99, 37.75
1.08, 2.54, 4.00, 1.99, 37.75
1.08, 2.54, 4.00, 1.99, 37.75
1.08, 2.54, 4.00, 1.99, 37.75
1.08, 2.54, 4.00, 1.99, 37.75
1.08, 2.54, 4.00, 1.99, 37.75
1.08, 2.54, 4.00, 1.99, 37.75
1.08, 2.54, 4.00, 1.99, 37.75
1.08, 2.54, 4.00, 1.99, 37.75
1.08, 2.54, 4.00, 1.99, 37.75
1.08, 2.54, 4.00, 1.99, 37.74
1.08, 2.54, 4.00, 1.99, 37.75
1.08, 2.54, 4.00, 1.99, 37.74
1.08, 2.54, 4.00, 1.99, 37.74
1.08, 2.54, 4.00, 1.99, 37.74
1.08, 2.54, 4.00, 1.99, 37.74
1.08, 2.54, 4.00, 1.99, 37.74
1.08, 2.54, 4.00, 1.99, 37.74
1.08, 2.54, 4.00, 1.99, 37.74
1.08, 2.54, 4.00, 1.99, 37.74
1.08, 2.54, 4.00, 1.99, 37.74
1.08, 2.54, 4.00, 1.99, 37.74
1.08, 2.54, 4.00, 1.99, 37.74
1.08, 2.54, 4.00, 1.99, 37.74
1.08, 2.54, 4.00, 1.99, 37.74
1.08, 2.54, 4.00, 1.99, 37.74
1.08, 2.54, 4.00, 1.99, 37.74
1.08, 2.54, 4.00, 1.99, 37.74
1.08, 2.54, 4.00, 1.99, 37.74
1.08, 2.54, 4.00, 1.99, 37.74
1.08, 2.54, 4.00, 1.99, 37.74
1.08, 2.54, 4.00, 1.99, 37.74
1.08, 2.54, 4.00, 1.99, 37.74
1.08, 2.54, 4.00, 1.99, 37.74
1.08, 2.54, 4.00, 1.99, 37.74
1.08, 2.54, 4.00, 1.99, 37.74
1.08, 2.54, 4.00, 1.99, 37.74
1.08, 2.54, 4.00, 1.99, 37.74
1.08, 2.54, 4.00, 1.99, 37.74
1.08, 2.54, 4.00, 1.99, 37.73
1.08, 2.54, 4.00, 1.99, 37.73
1.08, 2.54, 4.00, 1.99, 37.73
1.08, 2.54, 4.00, 1.99, 37.74
1.08, 2.54, 4.00, 1.99, 37.74
1.08, 2.54, 4.00, 1.99, 37.74
1.08, 2.54, 4.00, 1.99, 37.74
1.08, 2.54, 4.00, 1.99, 37.73
1.08, 2.54, 4.00, 1.99, 37.73
1.08, 2.54, 4.00, 1.99, 37.73
1.08, 2.54, 4.00, 1.99, 37.73
1.08, 2.54, 4.00, 1.99, 37.73
1.08, 2.54, 4.00, 1.99, 37.73
1.08, 2.54, 4.00, 1.99, 37.73
1.08, 2.54, 4.00, 1.99, 37.73
1.08, 2.54, 4.00, 1.99, 37.73
1.08, 2.54, 4.00, 1.99, 37.73
1.08, 2.54, 4.00, 1.99, 37.74
1.08, 2.54, 4.00, 1.99, 37.78
1.08, 2.54, 4.00, 1.99, 37.79
1.08, 2.54, 4.00, 1.99, 37.79
1.08, 2.54, 4.00, 1.99, 37.79
1.08, 2.54, 4.00, 1.99, 37.80
1.08, 2.54, 4.00, 1.99, 37.80
